166,"(['PAGE TITLE: MH-Hannover: Startseite', ['impressum.html'], None], 'NO!')"
167,"([None, None, None], None)"
168,"(['PAGE TITLE:  Startseite - Krankenhaus Korbach', ['direkt-zu/impressum/'], None], 'NO!')"
169,"([None, None, None], None)"
170,"(['2016 by FrischLink', ['impressum/'], None], 'Gravelottestr. 8 81667 München')"
171,"([None, None, None], None)"
172,"([None, None, None], None)"
173,"(['Unilever 2018', ['/impressum.html'], None], 'Am Strandkai 1 D-20457 Hamburg')"
174,"([None, None, None], None)"
175,"(['PAGE TITLE: Angebote für Privatkunden ', ['/metaseiten/impressum.html'], None], 'Gifhorner Straße 57 38112 Braunschweig')"
176,"([None, None, None], None)"
177,"(['PAGE TITLE: Home', ['impressum/'], None], 'Hülskensstraße 4-6 46483 Wesel')"
178,"([None, None, None], None)"
179,"(['', ['impressum/'], None], 'Römermauer 3 54634 Bitburg')"
180,"(['PAGE TITLE: Berger Holding - Präzision in Perfektion', ['/de/impressum.php'], None], 'In der Neuen Welt 14 D-87700 Memmingen')"
181,"(['pollo 2018', ['/impressum'], None], 'NO!')"
182,"(['PAGE TITLE: Startseite\xa0-\xa0Körber AG', ['/de/service/impressum.html'], None], 'Anckelmannsplatz 1 20537 Hamburg')"
183,"(['2018 Bauknecht Hausgeräte GmbH. Alle Rechte vorbehalten.', ['/kundencenter/impressum.content.html'], None], 'Industriestraße 48 70565 Stuttgart')"
184,"(['PAGE TITLE: Shell in Deutschland ', ['/impressum.html'], None], 'NO!')"
185,"([None, None, None], None)"
186,"(['2018 ', ['/impressum'], None], 'Emil-von-Behring-Straße 76 D-35041 Marburg')"
187,"([None, None, None], None)"
188,"(['PAGE TITLE: Aluminiumprodukte und -profile Aluminium Werke Wutöschingen', ['https://www.aww.de/de/unternehmen_impressum'], None], 'NO!')"
